phase,reveal_order,priority,overall,company,city,state,biz_type,apollo_emp,revenue,est_premium,likely_asian,in_kc_metro,is_food,website,phone
Phase 3 - Remaining HIGHs,284,HIGH,4.2,Bartolino's Restaurant,St. Louis,Missouri,restaurant (general),27,,$20K+,,,Yes,http://www.bartolinosrestaurants.com,'+1 314-487-4545
Phase 3 - Remaining HIGHs,285,HIGH,4.2,Bengelina Hospitality Group,St. Louis,Missouri,restaurant (general),30,,$20K+,,,Yes,http://www.bengelina.com,'+1 314-932-1088
Phase 3 - Remaining HIGHs,286,HIGH,4.2,El Charo,Pittsburg,Kansas,restaurant (general),23,"$3,525,000",$20K+,,,Yes,http://www.elcharrocafe.com,'+1 520-622-1922
Phase 3 - Remaining HIGHs,287,HIGH,4.2,Las Carretas,Lexington,Missouri,restaurant (general),32,,$20K+,,,Yes,http://www.lascarretas.com,'+60 3-5637 3058
Phase 3 - Remaining HIGHs,288,HIGH,4.1,Food Industry Sanitation Auditors,Olathe,Kansas,restaurant (general),26,,$10K-$20K,,Yes,Yes,http://www.fisaconsulting.com,'+1 800-477-4432
Phase 3 - Remaining HIGHs,289,HIGH,4.1,Gram & Dun,Kansas City,Missouri,restaurant (general),25,"$3,219,000",$10K-$20K,,Yes,Yes,http://www.gramanddun.com,'+1 816-389-2900
Phase 3 - Remaining HIGHs,290,HIGH,4.1,Engrain LLC (engrain.us),Manhattan,Kansas,restaurant (general),17,"$226,000",$10K-$20K,,Yes,Yes,http://www.engrain.us,'+1 785-539-1100
Phase 3 - Remaining HIGHs,291,HIGH,4.1,Operation BBQ Relief,Peculiar,Missouri,bbq restaurant,46,"$1,892,000",$10K-$20K,,Yes,Yes,http://www.operationbbqrelief.org,'+1 844-627-7353
Phase 3 - Remaining HIGHs,292,HIGH,4.1,RMF Companies,Grandview,Missouri,restaurant (general),16,,$10K-$20K,,Yes,Yes,http://www.rmfworks.com,'+1 816-765-4101
Phase 3 - Remaining HIGHs,293,HIGH,4.1,Nell Hill's,Kansas City,Missouri,retail,31,,$20K+,,Yes,No,http://www.nellhills.com,'+1 816-746-4320
Phase 3 - Remaining HIGHs,294,HIGH,4.1,Walker's Fresh Foods,North Kansas City,Missouri,restaurant (general),16,,$10K-$20K,,Yes,Yes,http://www.walkersfoodproducts.com,'+1 816-472-8121
Phase 3 - Remaining HIGHs,295,HIGH,4.1,Tallgrass Tap House,Manhattan,Kansas,brewery/taproom,32,,$20K+,,Yes,Yes,http://www.tallgrasstaphouse.com,'+1 785-320-2933
Phase 3 - Remaining HIGHs,296,HIGH,4.1,Lotus Hospitality,Kansas City,Missouri,restaurant (general),39,,$20K+,,Yes,Yes,http://www.lotusgroupinc.com,
Phase 3 - Remaining HIGHs,297,HIGH,4.1,WorkForge,Kansas City,Missouri,e-learning,37,,$20K+,,Yes,No,http://www.workforge.com,'+1 816-744-5565
Phase 3 - Remaining HIGHs,298,HIGH,4.1,BRGR Kitchen + Bar,Kansas City,Missouri,restaurant (general),18,,$10K-$20K,,Yes,Yes,http://www.brgrkitchen.com,'+1 816-221-2747
Phase 3 - Remaining HIGHs,299,HIGH,4.1,Helping Hands Humane Society,Topeka,Kansas,nonprofit organization management,31,,$20K+,,Yes,No,http://www.topekahumaneshelter.org,'+1 785-233-7325
Phase 3 - Remaining HIGHs,300,HIGH,4.1,Brew Haha Coffeehouse,Overland Park,Kansas,brewery/taproom,22,,$10K-$20K,,Yes,Yes,http://www.brewhahacoffeehouse.com,'+1 913-904-2099
Phase 3 - Remaining HIGHs,301,HIGH,4.1,Salty Iguana Mexican,Lawrence,Kansas,mexican restaurant,32,,$20K+,,Yes,Yes,http://www.saltyiguana.net,'+1 913-381-3888
Phase 3 - Remaining HIGHs,302,HIGH,4.1,Martys Bbq,Kansas City,Missouri,bbq restaurant,17,,$10K-$20K,,Yes,Yes,http://www.martysbbq.com,'+1 252-243-5887
Phase 3 - Remaining HIGHs,303,HIGH,4.1,Salsa Grill,Shawnee,Kansas,restaurant (general),27,"$1,962,000",$10K-$20K,,Yes,Yes,http://www.thesalsagrill.com,'+1 562-942-7072
Phase 3 - Remaining HIGHs,304,HIGH,4.1,ERINS PUB,Independence,Missouri,restaurant (general),17,,$10K-$20K,,Yes,Yes,http://www.erinpubnorwood.com,'+1 610-461-0991
Phase 3 - Remaining HIGHs,305,HIGH,4.1,Farmers Bank of Kansas City,Overland Park,Kansas,banking,49,,$20K+,,Yes,No,http://www.farmersbankkc.com,'+1 833-325-2684
Phase 3 - Remaining HIGHs,306,HIGH,4.1,The Fontaine Hotel,Kansas City,Missouri,restaurant (general),29,,$10K-$20K,,Yes,Yes,http://www.thefontainehotel.com,'+1 816-753-8800
Phase 3 - Remaining HIGHs,307,HIGH,4.1,One Egg Group,Manhattan,Kansas,restaurant (general),18,,$10K-$20K,,Yes,Yes,http://www.one-egg.com,'+1 785-537-1396
Phase 3 - Remaining HIGHs,308,HIGH,4.1,Brooksider Sportsbar & Grill,Kansas City,Missouri,bar/nightclub,19,,$10K-$20K,,Yes,Yes,http://www.brooksider.com,'+1 816-363-4070
Phase 3 - Remaining HIGHs,309,HIGH,4.1,Booth Creek Wagyu,Manhattan,Kansas,restaurant (general),23,,$10K-$20K,,Yes,Yes,http://www.boothcreekwagyu.com,'+1 785-775-1144
Phase 3 - Remaining HIGHs,310,HIGH,4.1,CocoBolos,Overland Park,Kansas,restaurant (general),13,"$2,694,000",$10K-$20K,,Yes,Yes,http://www.cocoboloskc.com,'+1 913-766-5000
Phase 3 - Remaining HIGHs,311,HIGH,4.1,Dunkn Donuts,Independence,Missouri,bakery,38,,$20K+,,Yes,Yes,http://www.kcdunkin.com,
Phase 3 - Remaining HIGHs,312,HIGH,4.1,The Well,Kansas City,Missouri,restaurant (general),27,,$10K-$20K,,Yes,Yes,http://www.waldowell.com,'+1 816-361-1700
Phase 3 - Remaining HIGHs,313,HIGH,4.1,Central Bag Company,Leavenworth,Kansas,packaging & containers,45,,$20K+,,Yes,No,http://www.centralbagcompany.com,'+1 913-250-0325
Phase 3 - Remaining HIGHs,314,HIGH,4.1,Heroes Restaurant & Pub,Warrensburg,Missouri,restaurant (general),11,"$2,867,000",$10K-$20K,,Yes,Yes,http://www.heroeswarrensburg.com,'+1 660-747-3162
Phase 3 - Remaining HIGHs,315,HIGH,4.1,Tequila Harrys Inc,Lee's Summit,Missouri,restaurant (general),16,"$250,000",$10K-$20K,,Yes,Yes,http://www.tequilaharrys.com,'+1 913-469-6644
Phase 3 - Remaining HIGHs,316,HIGH,4.1,"Tippin's Gourmet Pies, LLC",Kansas City,Kansas,restaurant (general),25,,$10K-$20K,,Yes,Yes,http://www.tippinspies.com,'+1 800-435-3382
Phase 3 - Remaining HIGHs,317,HIGH,4.1,The Farmhouse KC,Kansas City,Missouri,restaurant (general),24,,$10K-$20K,,Yes,Yes,http://www.eatatthefarmhouse.com,'+1 816-569-6032
Phase 3 - Remaining HIGHs,318,HIGH,4.1,Kansas City Community Gardens (KCCG),Kansas City,Missouri,restaurant (general),27,,$10K-$20K,,Yes,Yes,http://www.kccg.org,'+1 816-931-3877
Phase 3 - Remaining HIGHs,319,HIGH,4.1,Powercat Sports Grill,Manhattan,Kansas,restaurant (general),24,,$10K-$20K,,Yes,Yes,http://www.powercatsportsgrill.com,'+1 785-320-4662
Phase 3 - Remaining HIGHs,320,HIGH,4.1,Taco Lucha,Manhattan,Kansas,mexican restaurant,24,,$10K-$20K,,Yes,Yes,http://www.tacoluchamanhattan.com,'+1 785-320-5255
Phase 3 - Remaining HIGHs,321,HIGH,4.1,Burnt End BBQ,Overland Park,Kansas,bbq restaurant,16,,$10K-$20K,,Yes,Yes,http://www.burntendbbqkc.com,'+1 913-451-8888
Phase 3 - Remaining HIGHs,322,HIGH,4.1,Ginger Sue’s,Lee's Summit,Missouri,restaurant (general),24,,$10K-$20K,,Yes,Yes,http://www.gingersues.com,'+1 816-407-7707
Phase 3 - Remaining HIGHs,323,HIGH,4.1,Big Mill,Lawrence,Kansas,restaurant (general),16,,$10K-$20K,,Yes,Yes,http://www.bigmilllawrence.com,'+1 785-856-0101
Phase 3 - Remaining HIGHs,324,HIGH,4.1,Brookside Barrio,Kansas City,Missouri,restaurant (general),15,,$10K-$20K,,Yes,Yes,http://www.barriokc.com,'+1 816-293-9587
Phase 3 - Remaining HIGHs,325,HIGH,4.1,Jarocho,Kansas City,Kansas,restaurant (general),32,,$20K+,,Yes,Yes,http://www.jarochokc.com,'+1 913-281-7757
Phase 3 - Remaining HIGHs,326,HIGH,4.1,Burg & Barrel,Overland Park,Kansas,restaurant (general),35,,$20K+,,Yes,Yes,http://www.burgandbarrel.com,
Phase 3 - Remaining HIGHs,327,HIGH,4.1,"LOUIE'S WINE DIVE KC, LLC",Kansas City,Missouri,restaurant (general),34,"$3,700,000",$10K-$20K,,Yes,Yes,http://www.louieswinedive.com,'+1 913-469-4177
Phase 3 - Remaining HIGHs,328,HIGH,4.1,"Olive Tree, LLC",Overland Park,Kansas,retail,31,,$20K+,,Yes,No,http://www.olivetreekc.com,'+1 913-338-2700
Phase 3 - Remaining HIGHs,329,HIGH,4.1,Taco Republic,Kansas City,Kansas,mexican restaurant,13,"$3,160,000",$10K-$20K,,Yes,Yes,http://www.eattacorepublic.com,'+1 913-262-8226
Phase 3 - Remaining HIGHs,330,HIGH,4.1,Blissful Honeymoons & Destination Weddings,Overland Park,Kansas,restaurant (general),19,"$3,371,000",$10K-$20K,,Yes,Yes,http://www.blissfulhoneymoons.com,'+1 816-260-8781
Phase 3 - Remaining HIGHs,331,HIGH,4.1,Gunter Pest & Lawn,Kansas City,Missouri,consumer services,14,"$1,596,000",$20K+,,Yes,No,http://www.gunterpest.com,'+1 816-444-2847
Phase 3 - Remaining HIGHs,332,HIGH,4.1,23RD STREET BREWERY,Lawrence,Kansas,brewery/taproom,49,"$3,054,000",$10K-$20K,,Yes,Yes,http://www.brew23.com,'+1 785-856-2337
Phase 3 - Remaining HIGHs,333,HIGH,4.1,Spicin Foods,Kansas City,Kansas,restaurant (general),27,,$10K-$20K,,Yes,Yes,http://www.spicinfoods.com,'+1 800-568-8468
Phase 3 - Remaining HIGHs,334,HIGH,4.1,The Brass Onion,Overland Park,Kansas,restaurant (general),21,,$10K-$20K,,Yes,Yes,http://www.thebrassonion.com,'+1 913-851-5940
Phase 3 - Remaining HIGHs,335,HIGH,4.1,Good Spirits Distilling,Olathe,Kansas,restaurant (general),19,,$10K-$20K,,Yes,Yes,http://www.gsdalcohol.com,'+1 913-361-8070
Phase 3 - Remaining HIGHs,336,HIGH,4.1,"Cyrus Hotel, Tribute Portfolio",Topeka,Kansas,restaurant (general),15,,$10K-$20K,,Yes,Yes,http://www.cyrushotel.com,'+1 785-596-0500
Phase 3 - Remaining HIGHs,337,HIGH,4.1,BRKTHROUGH,Overland Park,Kansas,recreational facilities & services,30,,$20K+,,Yes,No,http://www.brkthrough.com,'+1 913-948-5800
Phase 3 - Remaining HIGHs,338,HIGH,4.1,Garozzo's Ristorante,Kansas City,Missouri,restaurant (general),27,"$1,462,000",$10K-$20K,,Yes,Yes,http://www.garozzos.com,'+1 913-491-8300
Phase 3 - Remaining HIGHs,339,HIGH,4.1,The Rub Bar-B-Que,Olathe,Kansas,restaurant (general),11,"$3,600,000",$10K-$20K,,Yes,Yes,http://www.therubbarbque.com,'+1 913-894-1820
Phase 3 - Remaining HIGHs,340,HIGH,4.1,Manildra Group USA,Leawood,Kansas,restaurant (general),29,,$10K-$20K,,Yes,Yes,http://www.manildrausa.com,'+1 800-323-8435
Phase 3 - Remaining HIGHs,341,HIGH,4.1,"Pines International, Inc",Lawrence,Kansas,restaurant (general),16,,$10K-$20K,,Yes,Yes,http://www.kansaswheatgrasss.com,'+1 800-697-4637
Phase 3 - Remaining HIGHs,342,HIGH,4.1,Golden Boy Pies Inc,Overland Park,Kansas,restaurant (general),12,,$10K-$20K,,Yes,Yes,http://www.goldenboypies.com,'+1 913-384-6460
Phase 3 - Remaining HIGHs,343,HIGH,4.1,"Riley Drive, Inc.",Lenexa,Kansas,restaurant (general),14,,$10K-$20K,,Yes,Yes,http://www.rileydrive.com,'+1 515-528-8125
Phase 3 - Remaining HIGHs,344,HIGH,4.1,Square Pizza,Independence,Missouri,pizza restaurant,24,,$10K-$20K,,Yes,Yes,http://www.squarepizzasquared.com,'+1 816-461-2929
Phase 3 - Remaining HIGHs,345,HIGH,4.1,"Louisburg Cider Mill, Inc.",Louisburg,Kansas,restaurant (general),20,,$10K-$20K,,Yes,Yes,http://www.louisburgcidermill.com,'+1 913-837-5202
Phase 3 - Remaining HIGHs,346,HIGH,4.1,Simply Essentials™,Overland Park,Kansas,restaurant (general),40,,$20K+,,Yes,Yes,http://www.simply-essentials.com,
Phase 3 - Remaining HIGHs,347,HIGH,4.1,DO DROP INN,Lee's Summit,Missouri,restaurant (general),29,,$10K-$20K,,Yes,Yes,http://www.dodropinnpueblo.com,'+1 719-542-0818
Phase 3 - Remaining HIGHs,348,HIGH,4.1,Lawrence Beer Company,Lawrence,Kansas,restaurant (general),27,,$10K-$20K,,Yes,Yes,http://www.lawrencebeerco.com,'+1 785-856-0453
Phase 3 - Remaining HIGHs,349,HIGH,4.1,Worldwide Beverage Group,Lenexa,Kansas,restaurant (general),21,,$10K-$20K,,Yes,Yes,http://www.worldwidebeveragegroup.com,'+1 913-859-9925
Phase 3 - Remaining HIGHs,350,HIGH,4.1,Smith Electric Vehicles,Kansas City,Missouri,transportation,34,,$20K+,,Yes,No,http://www.smithev.com,'+1 816-464-0508
Phase 3 - Remaining HIGHs,351,HIGH,4.1,Education Leaders of Color,Parkville,Missouri,contractor,30,,$20K+,,Yes,No,http://www.edloc.org,
Phase 3 - Remaining HIGHs,352,HIGH,4.1,Exit Strategy,Kansas City,Kansas,restaurant (general),38,,$20K+,,Yes,Yes,http://www.exitstrategybar.com,
Phase 3 - Remaining HIGHs,353,HIGH,4.1,Fountain City Logistics,Overland Park,Kansas,transportation,31,,$20K+,,Yes,No,http://www.fountaincitylogistics.com,'+1 877-811-0854
Phase 3 - Remaining HIGHs,354,HIGH,4.1,Plaza Liquor,Kansas City,Missouri,restaurant (general),15,,$10K-$20K,,Yes,Yes,http://www.plazaliquorkc.com,'+1 816-531-5900
Phase 3 - Remaining HIGHs,355,HIGH,4.1,Merchants Pub & Plate,Lawrence,Kansas,bar/nightclub,21,,$10K-$20K,,Yes,Yes,http://www.merchantsonmass.com,'+1 785-843-4111
Phase 3 - Remaining HIGHs,356,HIGH,4.1,Scratch Gourmet Kitchen,Prairie Village,Kansas,restaurant (general),17,,$10K-$20K,,Yes,Yes,http://www.scratchgourmet.com,'+1 913-766-6021
Phase 3 - Remaining HIGHs,357,HIGH,4.1,Carolyn's Country Cousins,Liberty,Missouri,entertainment,21,"$3,947,000",$20K+,,Yes,No,http://www.carolynspumpkinpatch.com,'+1 816-781-9196
Phase 3 - Remaining HIGHs,358,HIGH,4.1,Strawberry Hill Baking Company,Merriam,Kansas,restaurant (general),15,"$4,256,000",$10K-$20K,,Yes,Yes,http://www.strawberryhill.com,'+1 800-631-1002
Phase 3 - Remaining HIGHs,359,HIGH,4.1,LUNCH BOX,Shawnee,Kansas,restaurant (general),39,,$20K+,,Yes,Yes,http://www.lunchboxclub.net,
Phase 3 - Remaining HIGHs,360,HIGH,4.1,So Long Saloon,Manhattan,Kansas,bar/nightclub,20,,$10K-$20K,,Yes,Yes,http://www.solongsaloon.com,'+1 785-537-9292
Phase 3 - Remaining HIGHs,361,HIGH,4.1,"Seaboard Transport, Inc.",Mission,Kansas,transportation,30,,$20K+,,Yes,No,http://www.seaboardtransport.net,123-456-7890
Phase 3 - Remaining HIGHs,362,HIGH,4.1,Kansas City Girls Preparatory Academy,Kansas City,Missouri,non-food (primary/secondary education),33,,$20K+,,Yes,No,http://www.kcgpa.org,'+1 816-268-2573
Phase 3 - Remaining HIGHs,363,HIGH,4.1,The Mad Greek,Lawrence,Kansas,restaurant (general),17,,$10K-$20K,,Yes,Yes,http://www.themadgreeklawrence.com,'+1 785-843-2441
Phase 3 - Remaining HIGHs,364,HIGH,4.1,Chef Caleb,Kansas City,Kansas,restaurant (general),22,,$10K-$20K,,Yes,Yes,http://www.chefcaleb.com,'+1 479-306-6064
Phase 3 - Remaining HIGHs,365,HIGH,4.1,Woods Chapel Church,Lee's Summit,Missouri,religious org,36,,$20K+,,Yes,No,http://www.woodschapelchurch.org,'+1 816-795-8848
Phase 3 - Remaining HIGHs,366,HIGH,4.1,Pegah's Family Restaurant,Lenexa,Kansas,restaurant (general),22,"$280,000",$10K-$20K,,Yes,Yes,http://www.pegahs.com,'+1 913-258-8766
Phase 3 - Remaining HIGHs,367,HIGH,4.1,Kansas City magazine,Overland Park,Kansas,publishing,37,,$20K+,,Yes,No,http://www.kansascitymag.com,'+1 913-469-6700
Phase 3 - Remaining HIGHs,368,HIGH,4.1,KBP Bells,Overland Park,Kansas,restaurant (general),16,,$10K-$20K,,Yes,Yes,http://www.kbpbells.com,'+1 913-356-6300
Phase 3 - Remaining HIGHs,369,HIGH,4.1,Rancho Grande Cantina Restaurant,Parkville,Missouri,mexican restaurant,29,,$10K-$20K,,Yes,Yes,http://www.rgcantina.com,'+1 816-505-9097
Phase 3 - Remaining HIGHs,370,HIGH,4.1,MIDWEST BEST LLC,Shawnee,Kansas,restaurant (general),23,,$10K-$20K,,Yes,Yes,http://www.midwestbest.net,'+1 913-952-4873
Phase 3 - Remaining HIGHs,371,HIGH,4.1,Center of Grace,Olathe,Kansas,nonprofit organization management,33,,$20K+,,Yes,No,http://www.centerofgrace.center,'+1 913-764-1353
Phase 3 - Remaining HIGHs,372,HIGH,4.1,"SOMBRERO'S MEXICAN CANTINA, LLC",Shawnee,Kansas,mexican restaurant,23,,$10K-$20K,,Yes,Yes,http://www.sombreroskc.com,'+1 913-441-6700
Phase 3 - Remaining HIGHs,373,HIGH,4.1,Urban Table,Prairie Village,Kansas,restaurant (general),20,,$10K-$20K,,Yes,Yes,http://www.urbantablekc.com,'+1 913-948-6900
Phase 3 - Remaining HIGHs,374,HIGH,4.1,Falcon Ridge Golf Course,Lenexa,Kansas,sports,47,,$20K+,,Yes,No,http://www.falconridgegolfclub.com,'+1 913-393-4653
Phase 3 - Remaining HIGHs,375,HIGH,4.1,BETTY RAE'S ICE CREAM LLC,Kansas City,Missouri,restaurant (general),20,,$10K-$20K,,Yes,Yes,http://www.bettyraes.com,'+1 913-232-8167
Phase 3 - Remaining HIGHs,376,HIGH,4.1,Twisted Fresh,Kansas City,Missouri,restaurant (general),22,"$317,000",$10K-$20K,,Yes,Yes,http://www.twistedfresh.com,'+1 913-441-0444
Phase 3 - Remaining HIGHs,377,HIGH,4.1,Westchester Village of Lenexa,Lenexa,Kansas,hospital & health care,30,,$20K+,,Yes,No,http://www.westchestervillagelenexa.com,'+1 913-307-2000
Phase 3 - Remaining HIGHs,378,HIGH,4.1,Reconciliation Services,Kansas City,Missouri,nonprofit,38,,$20K+,,Yes,No,http://www.rs3101.org,'+1 816-931-4751
Phase 3 - Remaining HIGHs,379,HIGH,4.1,Los Corrals,Kansas City,Missouri,restaurant (general),18,,$10K-$20K,,Yes,Yes,http://www.loscorrals.com,'+1 816-421-9440
Phase 3 - Remaining HIGHs,380,HIGH,4.1,Highlander Bar & Grill,Grandview,Missouri,bar/nightclub,15,,$10K-$20K,,Yes,Yes,http://www.highlanderbarandgrill.com,'+1 210-340-4577
Phase 3 - Remaining HIGHs,381,HIGH,4.1,Los Tules,Kansas City,Missouri,restaurant (general),28,,$10K-$20K,,Yes,Yes,http://www.los-tuleskc.com,'+1 816-421-9229
Phase 3 - Remaining HIGHs,382,HIGH,4.1,Genghis Khan Mongolian Grill,Kansas City,Missouri,restaurant (general),21,,$10K-$20K,,Yes,Yes,http://www.gkbbq.com,'+1 816-753-3600
Phase 3 - Remaining HIGHs,383,HIGH,4.1,eShipping Distribution Services,Riverside,Missouri,food distributor,36,,$20K+,,,Yes,http://www.eshippingdistributionservices.com,'+1 312-361-0066
Phase 3 - Remaining HIGHs,384,HIGH,4.1,Blackford Brokerage Inc,Mission,Kansas,restaurant (general),23,,$10K-$20K,,Yes,Yes,http://www.blackfordbrokerage.com,'+1 913-685-1400
Phase 3 - Remaining HIGHs,385,HIGH,4.1,The Smoothie Shop & Supplements,Lee's Summit,Missouri,restaurant (general),17,"$2,659,000",$10K-$20K,,Yes,Yes,http://www.thesmoothieshop.com,'+1 816-920-1977
Phase 3 - Remaining HIGHs,386,HIGH,4.1,Iron Horse Bar and Grill,Leawood,Kansas,bar/nightclub,44,,$20K+,,Yes,Yes,http://www.ironhorsegrillbar.com,
Phase 3 - Remaining HIGHs,387,HIGH,4.1,Set’em Up Jacks,Lawrence,Kansas,restaurant (general),17,,$10K-$20K,,Yes,Yes,http://www.setemupjacks.com,'+1 785-832-2030
Phase 3 - Remaining HIGHs,388,HIGH,4.1,The Brewtop Pub & Patio,Kansas City,Missouri,brewery/taproom,28,,$10K-$20K,,Yes,Yes,http://www.thebrewtop.com,'+1 816-584-9292
Phase 3 - Remaining HIGHs,389,HIGH,4.1,Six Mile Chop House - Tavern,Lawrence,Kansas,bar/nightclub,20,,$10K-$20K,,Yes,Yes,http://www.6milechophouse.com,'+1 785-856-6453
Phase 3 - Remaining HIGHs,390,HIGH,4.1,Maloneys Sports Bar and Grill,Overland Park,Kansas,bar/nightclub,28,,$10K-$20K,,Yes,Yes,http://www.maloneyssportsbar.com,'+1 913-385-9595
Phase 3 - Remaining HIGHs,391,HIGH,4.1,Cinder Block Brewery,North Kansas City,Missouri,brewery/taproom,14,"$4,993,000",$10K-$20K,,Yes,Yes,http://www.cinderblockbrewery.com,'+1 816-298-6555
Phase 3 - Remaining HIGHs,392,HIGH,4.0,Metabolic Meals LLC,St. Louis,Missouri,restaurant (general),31,"$4,025,000",$10K-$20K,,,Yes,http://www.mymetabolicmeals.com,'+1 855-355-6325
Phase 3 - Remaining HIGHs,393,HIGH,4.0,Connection Point Church,Raytown,Missouri,religious org,46,,$20K+,,,No,http://www.connectionpoint.tv,'+1 816-353-1994
Phase 3 - Remaining HIGHs,394,HIGH,4.0,bluetree casework,Saint Joseph,Missouri,restaurant (general),15,,$10K-$20K,,,Yes,http://www.gobluetree.com,'+1 816-232-3060
Phase 3 - Remaining HIGHs,395,HIGH,4.0,"Delaware North Companies, Inc. - Boston",Onaga,Kansas,restaurant (general),19,,$10K-$20K,,,Yes,http://www.dncboston.com,'+1 617-624-1050
Phase 3 - Remaining HIGHs,396,HIGH,4.0,Shayashone,Cameron,Missouri,management consulting,39,,$20K+,,,No,http://www.shayashone.com,'+251 93 000 0563
Phase 3 - Remaining HIGHs,397,HIGH,4.0,The Farmer's House,Weston,Missouri,nonprofit organization management,47,"$823,000",$20K+,,,No,http://www.thefarmershouse.org,'+1 816-640-3276
Phase 3 - Remaining HIGHs,398,HIGH,4.0,Grand Mere Restaurant Group,Overland Park,Kansas,restaurant (general),51,,$20K+,,Yes,Yes,http://www.gmrestaurantgroup.com,'+1 913-383-8177
Phase 3 - Remaining HIGHs,399,HIGH,4.0,"C.J. Foods, Inc.",Bern,Kansas,restaurant (general),42,,$20K+,,,Yes,,'+1 785-336-6132
Phase 3 - Remaining HIGHs,400,HIGH,4.0,Stroud's Restaurant & Bar,Fairway,Kansas,restaurant (general),25,,$20K+,,,Yes,http://www.stroudsrestaurant.com,'+1 913-262-8500
Phase 3 - Remaining HIGHs,401,HIGH,4.0,RADIUS BREWING COMPANY LLC,Emporia,Kansas,brewery/taproom,20,,$10K-$20K,,,Yes,http://www.radiusbrewing.com,'+1 620-208-4677
Phase 3 - Remaining HIGHs,402,HIGH,4.0,Pappy's Smokehouse,St. Louis,Missouri,bbq restaurant,28,"$3,779,000",$10K-$20K,,,Yes,http://www.pappyssmokehouse.com,'+1 314-535-4340
Phase 3 - Remaining HIGHs,403,HIGH,4.0,"Grandma Hoerner's Foods, Inc",Alma,Kansas,restaurant (general),25,"$4,476,000",$10K-$20K,,,Yes,http://www.grandmahoerners.com,'+1 785-765-2300
Phase 3 - Remaining HIGHs,404,HIGH,4.0,Campo Lindo,Lathrop,Missouri,farming,43,,$20K+,,,No,http://www.campolindofarms.com,'+1 816-740-3625
Phase 3 - Remaining HIGHs,405,HIGH,4.0,BOBS GRILL,Pittsburg,Kansas,restaurant (general),28,,$10K-$20K,,,Yes,http://www.bobsgrill.org,'+1 620-232-9738
Phase 3 - Remaining HIGHs,406,HIGH,4.0,Lean Kitchen Co,Saint Joseph,Missouri,restaurant (general),47,,$20K+,,,Yes,http://www.leankitchenco.com,
Phase 3 - Remaining HIGHs,407,HIGH,4.0,Dogtown Pizza,St. Louis,Missouri,pizza restaurant,16,,$10K-$20K,,,Yes,http://www.dogtownpizza.com,'+1 314-802-7001
Phase 3 - Remaining HIGHs,408,HIGH,4.0,Uncle Ray's,Chillicothe,Missouri,restaurant (general),31,,$20K+,,,Yes,,'+1 313-834-0800
Phase 3 - Remaining HIGHs,409,HIGH,4.0,Chick N Max,Wichita,Kansas,restaurant (general),27,,$10K-$20K,,,Yes,http://www.chicknmax.com,'+1 316-425-3991
Phase 3 - Remaining HIGHs,410,HIGH,4.0,Essig Family McDonald's,Reeds,Missouri,restaurant (general),29,,$10K-$20K,,,Yes,http://www.essigmcd.com,'+1 816-903-5105
Phase 3 - Remaining HIGHs,411,HIGH,4.0,Bionic Burger,Wichita,Kansas,restaurant (general),19,,$10K-$20K,,,Yes,http://www.bionic-burger.com,'+1 316-945-3838
Phase 3 - Remaining HIGHs,412,HIGH,4.0,Casino White Cloud,White Cloud,Kansas,entertainment,40,,$20K+,,,No,http://www.casinowhitecloud.org,'+1 877-652-6115
Phase 3 - Remaining HIGHs,413,HIGH,4.0,Nevada Regiona Technical Center,Nevada,Missouri,restaurant (general),31,,$20K+,,,Yes,http://nrtc.k12.mo.us,
Phase 3 - Remaining HIGHs,414,HIGH,4.0,Republic Foods,Lone Jack,Missouri,restaurant (general),18,,$10K-$20K,,,Yes,http://www.republic-foods.com,'+1 816-697-1839
Phase 3 - Remaining HIGHs,415,HIGH,4.0,SALINE COUNTY HEALTH DEPARTMENT,Marshall,Missouri,government administration,30,,$20K+,,,No,http://www.salinecountyhealthdepartment.com,'+1 660-886-3434
